Saffron Detection Run — 20260525_223847
Mode            : real
Scenes          : 1111
Total detected  : 6323
Mean detected   : 5.7
Mean avg score  : 0.4173
Highest score   : 0.7959
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
------------------------------------------------------------
  0054e9d129bd325d0e31ce4feb00      0     0.0000     0.0000
  024d7bdf1579333810b17ba22559      3     0.5207     0.5616
  0725F-3749A-1540x800_jpg.rf.      0     0.0000     0.0000
  0cc16d4f80bf162bbe502bff7e76      3     0.5857     0.5940
  0f_jpg.rf.B5OcBVW1HBdMy9wFtB      0     0.0000     0.0000
  1000_F_195195148_PX9B9rE8Tas      1     0.5307     0.5307
  1000_F_388597537_mQJHUvKqdqV      0     0.0000     0.0000
  1000_F_463103593_IJDrRrYeScS      0     0.0000     0.0000
  1000_F_501114635_AKD1VN4b5ab      0     0.0000     0.0000
  1000_F_574869844_n3ojHZSKxcn      0     0.0000     0.0000
  1000_F_621213903_SBHsy38t0vJ      0     0.0000     0.0000
  10_jpg.rf.gym0bCuc8i1Y4tBlHS      1     0.6235     0.6235
  10_jpg.rf.sXFJUhU0cV4b77QEPC      2     0.6169     0.6227
  11_jpg.rf.C58jddHuOPd2SLmFzD     10     0.6376     0.7057
  11_jpg.rf.j79DUMrF25y2bDRtBg      8     0.6285     0.6842
  11_jpg.rf.rBZ45MMHsDF3q7kduQ      7     0.6404     0.7090
  1200px-Saffron8_jpg.rf.CsB0w     10     0.5029     0.5836
  12_jpg.rf.eQkezFdpF2AHymA2Ba      2     0.4982     0.5171
  1360438058_q_aboutsaffron_jp      4     0.5375     0.6314
  13_jpg.rf.6PfPe4Q5FcM3WU69wA      8     0.4694     0.5238
  13_jpg.rf.h4j3M6EJALR5YZeS2C     11     0.5702     0.6637
  1478859980_105980_0_jpg.rf.g      5     0.5589     0.5926
  14_jpg.rf.Ie3lfICCvQrk35bICA      2     0.6619     0.6823
  14_jpg.rf.VpBCTCV39Y1aQr1GPg      3     0.6139     0.6569
  15_jpg.rf.GFuly0eQ0Sww19YTb3      2     0.5794     0.6042
  15_jpg.rf.NQh9a5yULlmKxR7GbO      1     0.5338     0.5338
  15_jpg.rf.mQLj2Ldr6LWqv7GP1A      2     0.6161     0.6699
  16_jpg.rf.6DAvm25nW55gQV2vTI      2     0.6411     0.6504
  16_jpg.rf.BPxUp4onx3Jb9vuciP      1     0.6504     0.6504
  16_jpg.rf.h3dQQdJlrp8ucXQKz5      1     0.6292     0.6292
  17_jpg.rf.jv43NxzWuTZXHQ9BRO     24     0.5661     0.6209
  17b208a4c291ddcfaf24be6f9344     21     0.5428     0.5924
  18_jpg.rf.bIbjfifvfq6cg6ihN4      2     0.5721     0.5835
  18_jpg.rf.fKduN09BlVIKGKgrSo      1     0.6061     0.6061
  195e4ad0af195a9b1bcf9ddf2749      0     0.0000     0.0000
  19_jpg.rf.79H9zYqpvEHkBUmIsL      5     0.5719     0.5980
  19_jpg.rf.Px3ba8IURgg8AapnTZ      3     0.5938     0.6096
  19d2a8635ecbd31e3c6120f6d254     12     0.5105     0.5626
  1_jpg.rf.y3SzQJA2JqfPYvGUTJv     22     0.6322     0.7004
  1_psHOo97OjWfxX7CTem7-eg_jpg      3     0.5641     0.5703
  1bea407d4e72a3a8f333f88d1547      3     0.5225     0.5454
  1caf29808967ab5438fb27983fa8     20     0.5328     0.5816
  1e47ae6e5192ac92bbbbad445fa4      0     0.0000     0.0000
  1f766e58c42fc7527944a51c4c65      2     0.5432     0.6047
  1fbe294e8a11cd79a45a6cc80043     28     0.5338     0.6143
  201022_SAFRAN_-83-_jpg.rf.cS      0     0.0000     0.0000
  20126f62-c079-11ed-b547-0210      0     0.0000     0.0000
  20_jpg.rf.06pIgnMXIY0dyPu3pO      0     0.0000     0.0000
  20_jpg.rf.UEnOAK6x1dUjcbdSFb      0     0.0000     0.0000
  20_jpg.rf.jeoFs2PYIEie1avgc4      0     0.0000     0.0000
  20d74057c9104f1836819a9ca40f      9     0.5470     0.6100
  21_jpg.rf.dceZtkeKRKhSdrwQvR      6     0.6159     0.6695
  21_jpg.rf.o9pLKVsvRGAPNHCe5a      1     0.4772     0.4772
  23251887-saffron-flower-on-t      6     0.5003     0.5279
  23_jpg.rf.FXUPtvsqPUHX22AkyW      2     0.5833     0.5926
  23_jpg.rf.JFZUENibgP9mFXUwaY      2     0.5910     0.6077
  23_jpg.rf.ZuT6Nf4fJcvi01kXlB      2     0.5385     0.5406
  23a15ff025fbf48750ad82b1b2de      1     0.5389     0.5389
  240_F_103197649_5OFYo0Ir2HmO      3     0.5647     0.6358
  240_F_103197649_5OFYo0Ir2HmO      3     0.5645     0.6350
  240_F_111136930_IhhTfdqJ2zCM     14     0.5279     0.5854
  240_F_125522423_KAdkMggkHpmq     21     0.5738     0.6721
  240_F_125522423_KAdkMggkHpmq     22     0.5739     0.6721
  240_F_125540193_PoV2GMUYmJfm      2     0.4940     0.5273
  240_F_125540193_PoV2GMUYmJfm      2     0.4940     0.5273
  240_F_125540202_hK49mP5gHchH      4     0.5789     0.6259
  240_F_125576821_JU2Pwcw838Nf      3     0.5266     0.5797
  240_F_125576825_PCQ0qfxZi9b9     20     0.6106     0.7011
  240_F_125576825_PCQ0qfxZi9b9     24     0.6117     0.7011
