Saffron Detection Run — 20260523_222037
Mode            : real
Scenes          : 1111
Total detected  : 6338
Mean detected   : 5.7
Mean avg score  : 0.4203
Highest score   : 0.8172
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
------------------------------------------------------------
  0054e9d129bd325d0e31ce4feb00      0     0.0000     0.0000
  024d7bdf1579333810b17ba22559      3     0.5225     0.5315
  0725F-3749A-1540x800_jpg.rf.      0     0.0000     0.0000
  08a8e81c5211c6d39feefb380f67     15     0.5455     0.6410
  0cc16d4f80bf162bbe502bff7e76      4     0.5500     0.5798
  0f_jpg.rf.B5OcBVW1HBdMy9wFtB      0     0.0000     0.0000
  1000_F_195195148_PX9B9rE8Tas      1     0.5459     0.5459
  1000_F_388597537_mQJHUvKqdqV      0     0.0000     0.0000
  1000_F_463103593_IJDrRrYeScS      0     0.0000     0.0000
  1000_F_501114635_AKD1VN4b5ab      0     0.0000     0.0000
  1000_F_574869844_n3ojHZSKxcn      0     0.0000     0.0000
  1000_F_621213903_SBHsy38t0vJ      0     0.0000     0.0000
  10_jpg.rf.gym0bCuc8i1Y4tBlHS      1     0.6248     0.6248
  10_jpg.rf.sXFJUhU0cV4b77QEPC      2     0.6079     0.6356
  11_jpg.rf.C58jddHuOPd2SLmFzD     10     0.6595     0.7079
  11_jpg.rf.j79DUMrF25y2bDRtBg      8     0.6451     0.7254
  11_jpg.rf.rBZ45MMHsDF3q7kduQ      7     0.6466     0.7005
  1200px-Saffron8_jpg.rf.CsB0w      9     0.5070     0.5842
  12_jpg.rf.eQkezFdpF2AHymA2Ba      2     0.4822     0.5044
  1360438058_q_aboutsaffron_jp      4     0.5252     0.6066
  13_jpg.rf.6PfPe4Q5FcM3WU69wA      5     0.4755     0.4918
  13_jpg.rf.h4j3M6EJALR5YZeS2C     10     0.5798     0.6759
  1478859980_105980_0_jpg.rf.g      5     0.5600     0.6050
  14_jpg.rf.Id8UO07BDuUQc3waQ3      2     0.6626     0.6776
  14_jpg.rf.Ie3lfICCvQrk35bICA      2     0.6673     0.6885
  14_jpg.rf.VpBCTCV39Y1aQr1GPg      3     0.6356     0.6682
  15_jpg.rf.GFuly0eQ0Sww19YTb3      2     0.6180     0.6575
  15_jpg.rf.NQh9a5yULlmKxR7GbO      1     0.5513     0.5513
  15_jpg.rf.mQLj2Ldr6LWqv7GP1A      2     0.6310     0.6467
  16_jpg.rf.6DAvm25nW55gQV2vTI      2     0.6242     0.6329
  16_jpg.rf.BPxUp4onx3Jb9vuciP      1     0.6329     0.6329
  16_jpg.rf.h3dQQdJlrp8ucXQKz5      1     0.6084     0.6084
  17_jpg.rf.jv43NxzWuTZXHQ9BRO     24     0.5713     0.6317
  17b208a4c291ddcfaf24be6f9344     21     0.5485     0.5861
  18_jpg.rf.bIbjfifvfq6cg6ihN4      2     0.5914     0.6172
  18_jpg.rf.fKduN09BlVIKGKgrSo      1     0.6072     0.6072
  195e4ad0af195a9b1bcf9ddf2749      0     0.0000     0.0000
  19_jpg.rf.79H9zYqpvEHkBUmIsL      5     0.5619     0.6040
  19_jpg.rf.Px3ba8IURgg8AapnTZ      3     0.5819     0.6037
  19d2a8635ecbd31e3c6120f6d254     12     0.5067     0.5492
  1_jpg.rf.y3SzQJA2JqfPYvGUTJv     22     0.6228     0.6926
  1_psHOo97OjWfxX7CTem7-eg_jpg      3     0.5620     0.6011
  1bea407d4e72a3a8f333f88d1547      3     0.5373     0.5586
  1caf29808967ab5438fb27983fa8     20     0.5312     0.5776
  1e47ae6e5192ac92bbbbad445fa4      0     0.0000     0.0000
  1f766e58c42fc7527944a51c4c65      2     0.5441     0.5839
  1fbe294e8a11cd79a45a6cc80043     26     0.5382     0.6192
  201022_SAFRAN_-83-_jpg.rf.cS      0     0.0000     0.0000
  20126f62-c079-11ed-b547-0210      0     0.0000     0.0000
  20_jpg.rf.06pIgnMXIY0dyPu3pO      0     0.0000     0.0000
  20_jpg.rf.UEnOAK6x1dUjcbdSFb      0     0.0000     0.0000
  20_jpg.rf.jeoFs2PYIEie1avgc4      0     0.0000     0.0000
  20d74057c9104f1836819a9ca40f     10     0.5595     0.6334
  21_jpg.rf.dceZtkeKRKhSdrwQvR      6     0.6473     0.7098
  21_jpg.rf.o9pLKVsvRGAPNHCe5a      1     0.4931     0.4931
  23251887-saffron-flower-on-t      5     0.5001     0.5163
  23_jpg.rf.FXUPtvsqPUHX22AkyW      2     0.5869     0.6357
  23_jpg.rf.JFZUENibgP9mFXUwaY      2     0.5999     0.6091
  23_jpg.rf.ZuT6Nf4fJcvi01kXlB      2     0.5384     0.5513
  23a15ff025fbf48750ad82b1b2de      2     0.5023     0.5322
  240_F_103197649_5OFYo0Ir2HmO      3     0.5604     0.6445
  240_F_103197649_5OFYo0Ir2HmO      3     0.5603     0.6442
  240_F_111136930_IhhTfdqJ2zCM     14     0.5265     0.5809
  240_F_125522423_KAdkMggkHpmq     21     0.5844     0.7333
  240_F_125522423_KAdkMggkHpmq     22     0.5856     0.7333
  240_F_125540193_PoV2GMUYmJfm      2     0.4856     0.5210
  240_F_125540193_PoV2GMUYmJfm      2     0.4856     0.5210
  240_F_125540202_hK49mP5gHchH      4     0.5893     0.6293
  240_F_125576821_JU2Pwcw838Nf      3     0.5183     0.5611
