Saffron Detection Run — 20260526_095617
Mode            : real
Scenes          : 1111
Total detected  : 6236
Mean detected   : 5.6
Mean avg score  : 0.4153
Highest score   : 0.7666
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
------------------------------------------------------------
  0054e9d129bd325d0e31ce4feb00      0     0.0000     0.0000
  024d7bdf1579333810b17ba22559      3     0.5238     0.5517
  0725F-3749A-1540x800_jpg.rf.      0     0.0000     0.0000
  0cc16d4f80bf162bbe502bff7e76      4     0.5725     0.5880
  0f_jpg.rf.B5OcBVW1HBdMy9wFtB      0     0.0000     0.0000
  1000_F_195195148_PX9B9rE8Tas      1     0.4812     0.4812
  1000_F_388597537_mQJHUvKqdqV      0     0.0000     0.0000
  1000_F_463103593_IJDrRrYeScS      0     0.0000     0.0000
  1000_F_501114635_AKD1VN4b5ab      0     0.0000     0.0000
  1000_F_574869844_n3ojHZSKxcn      0     0.0000     0.0000
  1000_F_621213903_SBHsy38t0vJ      0     0.0000     0.0000
  10_jpg.rf.gym0bCuc8i1Y4tBlHS      1     0.6140     0.6140
  10_jpg.rf.sXFJUhU0cV4b77QEPC      2     0.6577     0.6772
  11_jpg.rf.C58jddHuOPd2SLmFzD     10     0.6511     0.7351
  11_jpg.rf.j79DUMrF25y2bDRtBg      8     0.6411     0.7209
  11_jpg.rf.rBZ45MMHsDF3q7kduQ      7     0.6421     0.6971
  1200px-Saffron8_jpg.rf.CsB0w      9     0.5050     0.5928
  12_jpg.rf.eQkezFdpF2AHymA2Ba      2     0.4797     0.5053
  1360438058_q_aboutsaffron_jp      4     0.5433     0.6465
  13_jpg.rf.6PfPe4Q5FcM3WU69wA      5     0.4741     0.5144
  13_jpg.rf.h4j3M6EJALR5YZeS2C     11     0.5622     0.6750
  1478859980_105980_0_jpg.rf.g      5     0.5557     0.5922
  14_jpg.rf.Ie3lfICCvQrk35bICA      2     0.6379     0.6615
  14_jpg.rf.VpBCTCV39Y1aQr1GPg      3     0.5898     0.6732
  15_jpg.rf.GFuly0eQ0Sww19YTb3      2     0.5876     0.6122
  15_jpg.rf.NQh9a5yULlmKxR7GbO      1     0.5699     0.5699
  15_jpg.rf.mQLj2Ldr6LWqv7GP1A      2     0.6190     0.6320
  16_jpg.rf.6DAvm25nW55gQV2vTI      2     0.6520     0.6593
  16_jpg.rf.BPxUp4onx3Jb9vuciP      1     0.6593     0.6593
  16_jpg.rf.h3dQQdJlrp8ucXQKz5      1     0.6654     0.6654
  17_jpg.rf.jv43NxzWuTZXHQ9BRO     24     0.5598     0.6278
  17b208a4c291ddcfaf24be6f9344     21     0.5458     0.5874
  18_jpg.rf.bIbjfifvfq6cg6ihN4      2     0.6179     0.6379
  18_jpg.rf.fKduN09BlVIKGKgrSo      1     0.6367     0.6367
  195e4ad0af195a9b1bcf9ddf2749      0     0.0000     0.0000
  19_jpg.rf.79H9zYqpvEHkBUmIsL      5     0.5728     0.6267
  19_jpg.rf.Px3ba8IURgg8AapnTZ      3     0.5865     0.6014
  19d2a8635ecbd31e3c6120f6d254     12     0.5007     0.5462
  1_jpg.rf.y3SzQJA2JqfPYvGUTJv     22     0.6240     0.6979
  1_psHOo97OjWfxX7CTem7-eg_jpg      3     0.5535     0.5692
  1bea407d4e72a3a8f333f88d1547      3     0.5181     0.5325
  1caf29808967ab5438fb27983fa8     20     0.5277     0.5680
  1e47ae6e5192ac92bbbbad445fa4      0     0.0000     0.0000
  1f766e58c42fc7527944a51c4c65      2     0.5462     0.5994
  1fbe294e8a11cd79a45a6cc80043     27     0.5331     0.6255
  201022_SAFRAN_-83-_jpg.rf.cS      0     0.0000     0.0000
  20126f62-c079-11ed-b547-0210      0     0.0000     0.0000
  20_jpg.rf.06pIgnMXIY0dyPu3pO      0     0.0000     0.0000
  20_jpg.rf.UEnOAK6x1dUjcbdSFb      0     0.0000     0.0000
  20_jpg.rf.jeoFs2PYIEie1avgc4      0     0.0000     0.0000
  20d74057c9104f1836819a9ca40f      9     0.5468     0.6052
  21_jpg.rf.dceZtkeKRKhSdrwQvR      6     0.6314     0.6843
  21_jpg.rf.o9pLKVsvRGAPNHCe5a      1     0.4789     0.4789
  23251887-saffron-flower-on-t      5     0.4988     0.5202
  23_jpg.rf.FXUPtvsqPUHX22AkyW      2     0.5794     0.6015
  23_jpg.rf.JFZUENibgP9mFXUwaY      2     0.5792     0.5933
  23_jpg.rf.ZuT6Nf4fJcvi01kXlB      2     0.5279     0.5413
  23a15ff025fbf48750ad82b1b2de      2     0.4967     0.5275
  240_F_103197649_5OFYo0Ir2HmO      3     0.5497     0.6293
  240_F_103197649_5OFYo0Ir2HmO      3     0.5499     0.6298
  240_F_111136930_IhhTfdqJ2zCM     14     0.5248     0.5733
  240_F_125522423_KAdkMggkHpmq     21     0.5832     0.7100
  240_F_125522423_KAdkMggkHpmq     22     0.5834     0.7100
  240_F_125540193_PoV2GMUYmJfm      1     0.5156     0.5156
  240_F_125540193_PoV2GMUYmJfm      1     0.5156     0.5156
  240_F_125540202_hK49mP5gHchH      4     0.5695     0.6103
  240_F_125576821_JU2Pwcw838Nf      3     0.5146     0.5589
  240_F_125576825_PCQ0qfxZi9b9     20     0.6003     0.6965
  240_F_125576825_PCQ0qfxZi9b9     24     0.6034     0.6966
